project_id,region_id
1,1
4,1
7,1
11,1
12,1
13,1
14,1
15,1
18,1
25,1
26,1
27,1
31,1
33,2
33,3
34,4
34,5
34,6
35,7
38,1
38,8
39,1
41,1
41,9
41,10
42,1
43,1
43,3
44,1
45,11
45,12
46,2
46,11
46,2
47,7
47,13
47,3
48,1
48,14
48,3
49,1
50,8
50,15
56,1
74,1
86,11
87,1
88,16
88,17
88,7
89,1
91,1
91,3
96,1
97,18
97,2
98,12
98,3
99,1
100,19
100,1
101,1
101,3
102,2
102,12
102,14
103,19
103,20
103,1
104,1
104,21
105,1
106,1
107,11
108,2
108,13
109,2
109,3
110,1
110,13
111,8
111,1
112,1
112,8
113,22
113,23
113,1
114,8
116,24
116,8
118,25
118,26
118,1
119,8
121,8
121,1
122,1
122,8
123,1
123,27
124,1
124,28
125,1
125,29
126,1
126,8
127,1
128,29
129,1
130,1
131,1
132,1
133,8
133,1
134,1
134,30
134,16
134,31
134,32
134,33
134,34
134,35
134,36
134,37
134,19
135,24
135,8
136,1
136,38
136,39
137,1
138,40
138,1
140,1
141,2
142,11
142,3
143,41
144,1
145,1
146,42
146,4
147,1
148,1
149,1
151,1
152,43
152,44
152,45
153,1
154,1
154,46
154,47
155,1
156,1
157,1
158,1
158,48
159,1
160,7
161,1
162,49
162,50
162,51
163,52
164,52
166,52
167,52
167,1
168,53
169,1
169,52
170,7
171,52
172,52
173,52
173,1
174,54
174,55
175,54
176,52
176,22
177,56
178,1
179,1
179,13
180,1
180,52
181,52
182,52
183,52
184,52
185,52
185,6
185,57
185,2
185,6
186,58
187,52
188,52
190,52
190,1
190,4
192,59
193,52
193,22
195,52
197,52
199,52
199,3
202,52
204,1
205,1
206,1
206,13
207,1
210,2
210,18
210,14
211,1
212,1
213,60
213,2
214,2
214,1
215,7
216,1
217,1
219,1
220,43
221,1
222,1
222,14
222,1
222,13
223,1
223,1
224,1
224,3
225,1
225,3
226,2
226,1
226,2
226,3
227,2
227,61
227,62
228,2
228,63
228,64
228,65
229,66
229,7
229,67
237,68
237,69
238,70
238,71
238,72
239,60
240,3
240,12
241,2
241,3
242,1
243,1
243,19
243,73
243,74
243,75
243,76
243,77
244,1
245,1
245,3
247,43
247,1
248,1
249,43
249,30
250,1
253,2
254,2
254,6
255,1
257,1
258,1
259,2
259,1
260,1
261,2
261,3
262,2
262,3
263,2
264,1
265,2
266,1
267,78
268,1
269,2
269,6
271,2
271,3
272,1
273,1
274,2
275,1
276,43
277,1
278,1
280,2
281,66
281,7
282,1
282,3
283,43
283,79
987,2
987,67
987,66
997,80
997,2
