project_id,target_id
1,1
1,2
1,3
4,4
4,5
7,5
7,6
7,7
7,8
7,9
11,4
11,10
12,11
13,5
13,10
13,12
14,5
14,4
15,5
15,10
15,13
18,4
18,14
25,4
25,15
26,16
26,17
26,18
27,18
27,10
31,5
31,19
31,20
33,5
33,21
34,22
34,7
35,5
35,23
35,24
35,25
35,26
38,27
39,28
39,29
41,30
41,5
42,5
43,31
43,5
43,32
44,5
44,27
44,25
44,33
44,34
45,5
45,21
46,35
46,4
46,5
46,35
46,4
47,5
47,27
47,36
48,5
48,36
49,5
49,37
49,38
50,39
50,40
50,41
50,42
50,43
56,44
56,5
56,45
74,5
74,10
86,46
86,5
86,27
87,23
87,47
87,48
87,22
87,20
88,49
88,50
89,51
89,52
89,7
89,53
91,5
91,54
96,5
97,21
97,55
97,56
98,57
98,58
98,59
99,5
100,60
100,5
101,4
101,61
101,62
102,63
103,5
103,64
104,5
104,64
104,65
104,66
104,67
105,68
105,69
105,45
106,70
106,71
106,72
108,73
108,5
108,23
108,33
109,4
109,73
109,74
110,44
110,75
110,27
111,76
111,77
111,78
111,79
112,33
112,73
113,80
113,81
114,18
114,82
114,83
114,84
114,85
116,86
116,33
116,87
118,88
118,27
118,89
118,90
118,33
119,23
119,33
119,91
121,33
121,18
121,92
122,33
122,64
122,18
123,93
123,94
124,27
124,95
124,7
124,18
124,41
124,5
125,24
125,27
126,24
126,27
126,76
127,33
127,23
128,23
128,24
129,93
129,94
130,27
130,87
130,96
131,27
131,97
132,33
133,41
133,33
133,98
134,87
134,24
134,23
134,64
135,99
135,100
136,33
136,27
136,67
137,46
137,101
137,22
138,27
138,18
138,102
138,41
140,20
141,5
142,4
142,23
142,74
142,101
142,5
143,103
143,104
143,105
144,22
144,81
144,27
145,106
146,21
147,107
147,33
147,108
147,34
148,33
148,107
148,109
149,5
149,64
151,4
151,108
152,10
152,19
153,107
153,110
154,111
154,107
154,112
155,24
156,25
156,33
156,23
156,5
156,113
157,107
157,110
157,114
157,115
158,116
158,117
158,118
158,119
158,120
159,27
160,64
160,5
160,44
161,121
161,122
161,64
162,64
164,27
164,87
166,123
167,124
167,125
168,27
168,126
169,127
169,128
169,129
170,127
170,130
171,131
171,64
172,27
172,20
172,129
173,46
173,27
173,132
174,133
174,134
174,27
175,64
175,135
175,136
175,137
175,138
176,139
176,140
176,141
176,142
177,143
177,144
178,64
178,23
178,87
179,5
179,33
180,5
180,145
181,146
181,24
182,147
182,148
183,36
183,149
183,148
184,150
184,151
185,101
185,86
185,152
185,153
185,154
185,86
185,101
185,155
185,96
186,27
186,76
187,27
187,156
187,157
187,158
187,159
188,146
190,18
190,160
190,161
192,141
192,87
193,141
193,44
195,40
195,86
195,162
197,163
197,91
199,146
199,21
202,131
202,90
204,7
204,22
204,33
204,23
204,53
205,7
205,115
205,164
205,165
205,166
206,115
206,5
206,33
207,5
207,7
207,40
207,167
207,168
210,169
210,170
211,171
211,172
212,10
212,173
212,23
212,5
213,21
213,174
213,175
214,39
214,20
214,176
215,5
215,49
216,39
216,177
216,178
216,33
217,91
217,39
217,23
219,5
219,142
220,179
220,180
221,181
222,182
222,5
222,73
222,5
223,106
223,15
223,106
224,22
224,46
224,6
224,9
225,22
225,46
225,6
225,9
226,5
226,23
226,10
226,183
226,184
226,5
226,23
226,185
226,186
227,5
227,23
227,10
227,21
228,187
228,188
228,189
229,5
229,190
237,191
237,192
237,193
238,194
238,107
239,195
239,101
239,196
241,197
241,5
241,198
242,198
242,22
242,10
242,199
243,198
243,101
243,5
243,113
244,1
244,200
245,20
245,101
245,199
247,5
247,101
248,5
249,201
250,202
250,203
250,7
253,5
253,23
254,204
254,205
255,86
257,20
258,5
258,20
259,25
259,10
259,206
259,206
260,25
260,197
261,5
261,73
262,207
262,21
262,208
263,152
263,209
263,98
264,210
264,142
265,4
265,74
265,101
265,22
266,4
266,211
266,212
267,213
268,214
268,215
268,216
268,199
268,25
269,73
269,217
269,218
269,5
271,5
271,25
272,5
272,112
273,23
273,101
273,5
274,111
274,5
275,219
275,7
275,220
275,221
276,222
276,223
277,4
277,24
277,224
278,225
278,64
278,226
280,227
281,50
281,6
282,49
282,228
282,10
282,229
283,230
283,231
283,46
987,232
987,233
997,234
997,235
