id,name
1,国家公務員
2,若手職員
3,管理職
4,政府機関
5,国民
6,若年層
7,高齢者
8,障がい者
9,外国人
10,行政機関
11,国の行政機関
12,法律専門家
13,事業者（法人・団体）
14,官公庁
15,政府職員
16,法人
17,個人事業主
18,事業者
19,公共インフラ
20,社会全体
21,国際社会
22,一般市民
23,企業
24,地方自治体
25,政府
26,生態系
27,地域住民
28,明治日本の産業革命遺産
29,世界遺産
30,ギャンブル等依存症患者およびその家族
31,感染症
32,経済活動
33,地方公共団体
34,関係機関
35,国家
36,中小企業
37,人身安全関連事案の被害者
38,児童
39,女性
40,子供
41,若者
42,子育て世代
43,多世代
44,自治体
45,市民
46,観光客
47,政府・自治体
48,学術機関
49,一般消費者
50,国民全般
51,孤独・孤立に悩む人々
52,単身者
53,NPO
54,公文書利用者
55,各国知識層
56,各国企業経営層
57,知識層
58,企業経営層
59,投資家
60,アイヌ民族
61,独立行政法人
62,企業・事業者
63,海外企業・投資家
64,住民
65,公共施設利用者
66,国・地方公共団体
67,民間企業
68,NPO法人
69,市民活動団体
70,民間公益活動団体
71,子ども・若者
72,生活困難者
73,政策立案者
74,研究機関
75,小規模自治体
76,地域企業
77,経営幹部
78,プロフェッショナル人材
79,地方創生人材
80,高校生
81,学校関係者
82,起業家
83,経営者
84,地域商社
85,社会課題解決の担い手
86,学生
87,地域社会
88,関係人口
89,都市部住民
90,民間事業者
91,労働者
92,生活者
93,産業
94,地域
95,子ども・子育て世代
96,地域経済
97,地方社会
98,大学
99,東京圏の若年層
100,地方移住検討者
101,研究者
102,Uターン・移住希望者
103,遺棄化学兵器
104,作業従事者
105,周辺環境
106,公務員
107,被災者
108,行政職員
109,避難行動要支援者
110,被災世帯
111,患者
112,医療機関
113,社会
114,遺族
115,障害者
116,要配慮者
117,避難困難者
118,入院患者
119,施設入所者
120,避難者
121,公務員・自治体職員
122,原子力防災要員
123,児童生徒
124,重度の心身障害児・者
125,心身障害を持つ者
126,移住希望者
127,国土
128,住民・国民
129,自然環境
130,海岸
131,市町村
132,公園利用者
133,森林
134,森林所有者
135,人家
136,公共施設
137,農地
138,水源
139,漁業者
140,水産業関係者
141,離島住民
142,消費者
143,担い手
144,農業経営者
145,沖縄住民
146,沖縄県民
147,沖縄県の事業者
148,沖縄県経済
149,小規模事業者
150,こども
151,貧困家庭
152,スタートアップ企業
153,沖縄の地域社会・経済
154,世界の科学技術コミュニティ
155,スタートアップ
156,次世代
157,戦争犠牲者
158,戦争体験者
159,土地所有者
160,製造事業者
161,物流事業者
162,経済的困難層
163,製糖業者
164,妊婦
165,子供連れ
166,全ての人
167,歩行者
168,交通弱者
169,青年
170,次世代リーダー
171,一般国民
172,すべての人々
173,民間団体
174,国内国民
175,女性・女児
176,指導的地位を目指す人々
177,困難を抱える女性
178,NPO等の民間団体
179,官公庁施設
180,官公庁職員
181,公益法人
182,政府・政策立案者
183,宇宙産業
184,国際市場
185,政府・行政機関
186,海外
187,日本
188,産学官
189,人類
190,元島民後継者
191,有人国境離島地域
192,有人国境離島地域の住民
193,有人国境離島地域の事業者
194,紛争影響下の住民
195,国際協力人材
196,専門職
197,政策決定者
198,科学者
199,産業界
200,退職者
201,特定歴史公文書等
202,拉致被害者
203,拉致被害者家族
204,国際機関
205,各国
206,日本経済
207,科学技術・イノベーション政策
208,地球規模課題
209,大企業
210,食品
211,公共事業・行政サービス
212,経済社会
213,途上国
214,研究大学
215,博士人材
216,大学経営層
217,専門家
218,国
219,疾患を持つ人々
220,認知症患者
221,脳神経疾患患者
222,政府機関・行政機関
223,防災関係者
224,指定公共機関
225,防災関係機関
226,防災担当者
227,功労者
228,食品関連事業者
229,メディア
230,国賓・要人
231,一般来訪者
232,日本国民
233,日本政府
234,若手リーダー
235,優秀な人材
