シート種別,事業年度,予算事業ID,事業名,府省庁の建制順,政策所管府省庁,府省庁,局・庁,部,課,室,班,係,番号（関連事業）,関連事業の事業ID,関連事業の事業名,関連性
レビューシート,2024,1,内閣人事局経費,1,内閣官房,内閣官房,内閣人事局,,,,,,,,,
レビューシート,2024,4,情報システムの整備（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,戦略・組織,,政府ＤＸ担当,,,,,,,
レビューシート,2024,7,マイナンバー制度の推進,13,デジタル庁,デジタル庁,国民向けサービス,,,マイナンバーカード広報班,,,,,,
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,,,,
レビューシート,2024,12,電子決裁システム（ＥＡＳＹ）（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,電子決裁システム担当,,,,,,,
レビューシート,2024,13,共通情報検索システム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,ｅーＬＡＷＳ／共通情報検索システム担当,,,,,,,
レビューシート,2024,14,政府認証基盤（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,デジタル社会共通機能,,,トラスト担当　政府認証基盤（ＧＰＫＩ）班,,,,,,
レビューシート,2024,15,電子政府の総合窓口システム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,国民向けサービス,,,ｅーＧｏｖ班,,,,,,
レビューシート,2024,18,政府共通ネットワーク（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通ネットワーク担当,,,,,,,
